Document Number,Document Title,Document Date,Cancelled/Superceding Document,Cancelled/Superceding Date
FED-STD-313E,"MATERIAL SAFETY DATA, TRANSPORTATION DATA AND DISPOSAL DATA FOR HAZARDOUS MATERIALS FURNISHED TO GOVERNMENT ACTIVITIES",1-Jul-2014,FED-STD-313D,Superceding Date: 21-Mar-2000
A-A-55540,"Regulator, Oxygen, Acetylene, Welding Application (A-A-55540",11-Dec-1998,UL-252,Superceding Date: 12-Aug-2002
FF-B-171/29(2),"Bearing, Ball, Annular, Single Row, Angular Contact, Counter",30-Nov-1993,A-A-59633,Superceding Date: 27-Jun-2001
L-P-393A(2),"Plastic Molding Material, Polycarbonate, Injection and Extru",31-Jan-1964,ASTM-D3935,Superceding Date: 29-Jun-1988
TT-C-595(2),Colors; (For) Ready-Mixed Paints,12-Jan-1950,FED-STD-595,Superceding Date: 1-Mar-1956
W-C-375/8,"Circuit Breakers, Molded Case, Branch Circuit and Service, T",12-Sep-1980,W-C-375/6A,Superceding Date: 12-Sep-1980
UU-P-226,"Paper, Drawing",3-Mar-1932,UU-P-223,Superceding Date: 15-Nov-1963
WW-T-700F(1),"Tube, Aluminum Alloy, Drawn, Seamless, General Specification",29-Dec-1983,SAE-AMS-WW-T-700,Superceding Date: 20-May-2004
QQ-W-428/1,"Wire, Steel, High Carbon, Round, Type I",9-Apr-1991,SAE-AMS-QQ-W-428/1,Superceding Date: 8-Mar-2004
A-A-1016C,"Disk, Abrasive (Aluminum Oxide, Alumina Zirconia and Ceramic",10-Jul-1991,ANSI-B74.18,Superceding Date: 31-May-1994
O-S-571G,"Sodium Carbonate, Anhydrous, Technical",13-Nov-1991,A-A-59563,Superceding Date: 17-Feb-2004
HH-T-111C(1),"Tape, Rubber (Natural and Synthetic) Insulating",29-Jan-1947,HH-I-553,Superceding Date: 1-Aug-1962
A-A-20149B,"Ham Products, Fully Cooked, Canned or Packaged",11-Dec-1995,IMP-S-CP-500,Superceding Date: 13-May-2003
PPP-B-591B(1),"Boxes, Shipping, Fiberboard, Wood-Cleated",23-Apr-1971,PPP-B-576,Superceding Date: 20-Oct-1995
FF-B-2844/1,"Bearing, Ball, Annular: Single Row, Radial, Non-Filling Slot",6-Feb-2001,A-A-59643,Superceding Date: 6-Feb-2001
HH-I-1972/1,"Insulation Board, Thermal, Polyurethane or Polyisocyanurate,",12-Aug-1981,ASTM-C1289,Superceding Date: 14-Feb-2001
A-A-50183,Ice Cream Maker; Shake Maker; and Combination Ice Cream and,19-Oct-1988,ASTM-F-1604,Superceding Date: 20-Jan-2001
FED-STD-182B,Continuous Identification Marking of Nickel and Nickel Base,15-Jun-1979,SAE-AMS2806,Superceding Date: 1-Aug-2005
GGG-T-0070C(1),"Tap, Thread Cutting (High Speed Steel, Ground Thread, Hand",18-Oct-1968,ASME/ANSI B94.9,Superceding Date: 8-Sep-1998
A-A-665E,Lacquer (Aerosol),1-Jul-1999,A-A-2787,Superceding Date: 30-Nov-2000
FF-B-171/4(2),"Bearing, Ball, Annular, Single Row, Radial, Non-Filling Slot",30-Nov-1993,A-A-59584,Superceding Date: 7-Aug-2000
QQ-W-390/1,"Wire, Nonelectrical, Round, Nickel-Chromium-Iron Alloy",27-Jun-1989,ASTM-B166,Superceding Date: 15-Jun-2000
QQ-W-390C(1),"Wire, Nickel-Chromium-Iron Alloy",25-Feb-1970,ASTM-B166,Superceding Date: 30-Apr-1992
A-A-59558,"Ring, Lock, Serrated",23-Jun-2000,SAE-AS51990,Superceding Date: 6-Jun-2005
L-P-513C,"Plastic Sheet and Insulation Sheet, Electrical (Laminated, T",19-Dec-1968,ASTM-D 709,Superceding Date: 26-May-2000
A-A-1996,"Spectacles, Industrial (Metal Frames)",8-Feb-1983,ANSI-Z87.1,Superceding Date: 23-Apr-1997
A-A-1110B,"Goggles, Industrial, Plastic",2-Dec-1997,ANSI-Z87.1,Superceding Date: 12-Aug-1999
A-A-1611A,"Card, Index",4-Apr-1994,JCP K-10,Superceding Date: 29-Oct-1999
A-A-1417A,Plywood (Construction and Industrial),18-Feb-1986,A-A-55057,Superceding Date: 25-Mar-1991
A-A-51661,"Basin, Wash",19-Sep-1986,A-A-30057,Superceding Date: 1-Aug-1991
W-S-564C,"Soldering Guns, Electric",10-Apr-1991,A-A-59307,Superceding Date: 17-Mar-1999
AA-O-250B/GEN,"Office Furniture, Wood, Unitized (General Specification)",1-Sep-1967,A-A-3173,Superceding Date: 5-Nov-1998
TT-P-664D,"Primer Coating, Alkyd, Corrosion-Inhibiting, Lead and Chroma",1-Sep-1988,SSPC-Paint 25,Superceding Date: 13-Mar-2000
FF-B-171/36(2),"Bearing, Ball, Annular, Double Row, Angular Contact, Filling",30-Nov-1993,A-A-59640,Superceding Date: 15-Jan-2003
FF-B-171/33(2),"Bearing, Ball, Annular, Double Row, Angular Contact, Non-Fil",30-Nov-1993,A-A-59637,Superceding Date: 15-Jan-2003
FF-B-171/23(2),"Bearing, Ball, Annular, Single Row, Angular Contact, Counter",30-Nov-1993,A-A-59627,Superceding Date: 27-Jun-2001
FF-B-171/1(2),"Bearing, Ball, Annular, Single Row, Radial, Non-Filling Slot",30-Nov-1993,A-A-59581,Superceding Date: 7-Aug-2000
QQ-P-35C,Passivation Treatments for Corrosion-Resisting Steel,28-Oct-1988,ASTM-A967,Superceding Date: 11-Sep-1998
AA-S-704A,"Stool, Step, Caster Mounted, Safety",22-Jan-1971,A-A-3116,Superceding Date: 5-Nov-1998
QQ-A-200/13C,"Aluminum Alloy 7178, Bar, Rod, Shapes, Tube, and Wire, Extru",23-Aug-1983,SAE-AMS-QQ-A-200/13,Superceding Date: 13-Dec-2002
QQ-A-200/3F,"Aluminum Alloy 2024, Bar, Rod, Shapes, Tube and Wire, Extrud",23-Sep-1983,SAE-AMS-QQ-A-200-3,Superceding Date: 26-Nov-2002
