Document Number,Document Title,FSC,Preparing Activity,Date,Notice/ Date,Amendment/ Date,Interim Amendment/ Date
A-A-694D,"Sodium Chloride, Technical",6810,GS3,30-May-2002,,,"Int Amendment: 0--"
A-A-697D,"Paper, Toilet",8540,FSS,14-Jul-1993,,,
A-A-2547A,"Cabinet, Key and Identification Systems",7125,FSS,20-Oct-2000,,,
A-A-2651,"Binder, Award Certificate",7510,FSS,14-Feb-1991,,,
A-A-50046,"Marking Machines, Laundry",3510,IS,23-Mar-1983,"Notice: 21-Nov-2006",,
A-A-50047A,"Dry Cleaning Units Assembly, Dry To Dry, Perchloroethylene S",3510,IS,15-Dec-1992,,,
A-A-50112B,"Piton, Mountain, Angle",8465,CT,26-Jun-2000,,,
A-A-50113B,"Piton, Mountain, Ice",8465,CT,26-Jun-2000,,,
A-A-50114B,"Piton, Mountain, Knifeblade Offset",8465,CT,26-Jun-2000,,,
A-A-50115B,"Piton, Mountain, Cliffhanger",8465,CT,26-Sep-2000,,,
A-A-50117B,"Crampons, Hinged",8465,CT,10-Oct-2000,,,
A-A-50118B,"Straps, Crampon",8465,CT,10-Oct-2000,,,
A-A-50119A,"Anchor, Snow, Wired",8465,GL,21-Feb-1990,,,
A-A-50120A,"Harness, Climbing, Full-Body",8465,GL,21-Feb-1990,,,
A-A-50121A,"Protector, Crampon",8465,GL,21-Feb-1990,"Notice: 1 20-May-1998",,
A-A-50122A,"Trucks, Hand, 3 Shelves, Stainless Steel Utility",3920,GS,9-Dec-1987,,,
A-A-50125B,"Descender, Figure-8",8465,GL,21-Feb-1990,,,
A-A-50127A,"Ascenders, Cam Action",8465,GL,21-Feb-1990,,,
A-A-50128A,"Cloth, Interlining: Nonwoven",8305,GL,28-Mar-1995,,,
A-A-50129A,"Cloth, Flannel, Lightweight",8305,CT,7-Mar-1996,,,
A-A-51349,"Lubricant, Dental Handpiece",6520,MB,12-Feb-1986,,,
A-A-51350,"Shield, Gonadal, X-Ray Protective",6525,MB,21-Feb-1986,,,
A-A-51351,"Centrifuge, Laboratory (Microhematocrit, Battery Powered)",6640,MB,28-Feb-1986,,,
A-A-51353,"Knife-Curette, Ear (Sheehy-House)",6515,MB,12-Sep-1986,,,
A-A-51354,Bedpan,6530,MB,14-Mar-1986,,,
A-A-51355B,"Stretcher, Hospital (Wheeled)",6530,MB,24-Dec-1991,,,
A-A-51356,Battery Support System,6625,MB,7-Mar-1986,,,
A-A-51357,"Electrode Assembly, Fetal",6530,MB,28-Mar-1986,,,
A-A-51358,"Tongs, Laboratory",6640,MB,28-Apr-1986,,,
A-A-51359,"Generator, Carbon Dioxide-Hydrogen Anaerobic Culture Apparat",6640,MB,12-Apr-1986,,,
A-A-51360A,"Flask, Volumetric (Borosilicate Glass)",6640,MB,30-Aug-1991,,,
A-A-51361A,"Surgical Pack, Gown and Towel",6532,MB,17-May-1992,,,
A-A-51362,"Bath, Whirlpool, Arm",6530,MB,15-Mar-1986,,,
A-A-51363A,"Drain, Surgical, Rubber, T-Type, Sterile",6515,MB,15-Jun-1992,,,
A-A-51430,"Splint Set, Arch Wire, Dental and Bond, Ligature, Dental",6520,MB,20-May-1986,,,
A-A-51431,"Blowtorch, Alcohol",6520,MB,8-May-1986,,,
A-A-51434,"Blocker Set, X-Ray Film Identification",6525,MB,15-Jul-1987,,,
A-A-51435,"Bag, Urine Collection, Pediatric",6530,MB,20-May-1986,,,
A-A-51437A,"Vancomycin Hydrochloride for Oral Solution, USP",6505,MB,11-Sep-1986,,,
A-A-51438B,"Drainage Unit, Pleural Cavity",6515,MB,11-Jun-1993,,,
A-A-51439,"Tubing, Surgical (Plastic)",6515,YD1,9-May-1986,,,
A-A-51440,"Cartridge, Water Demineralizer",4610,MB,3-Sep-1986,,,
A-A-51442A,"Aspirin, Aluminum Hydroxide Gel, Dried, Magnesium Hydroxide",6505,MB,29-Dec-1989,,,
A-A-51443A,"Aspirin, Aluminum Hydroxide Gel, Dried, and Magnesium Oxide",6505,MB,11-Sep-1986,,,
A-A-51445,"Kit, Disposable, Lensectomy",6515,MB,12-May-1986,,,
A-A-52538,"Hook, Log-Grab (127 by 203 Millimeters)",4030,AT,4-Dec-1995,"Notice: 1 16-Apr-2004",,
A-A-52539,"Hooks, Hoist (Regular Eye)",4030,AT,5-Dec-1995,"Notice: 1 16-Apr-2004",,
A-A-52540,"Fittings, Wire Rope",4030,AT,6-Dec-1995,"Notice: 1 16-Apr-2004",,
A-A-52542,"Fifth Wheel Assembly - 33 Inch Non-Universal, Dolly Trailer",2510,AT,12-Dec-1995,"Notice: 1 16-Apr-2004",,
A-A-52544,"Fifth Wheel Assembly -33 Inch Universal, Truck-Tractor, 2500",2510,AT,12-Dec-1995,,,
A-A-52545A,"Heaters, Vehicular Compartment 28 Volt, DC",2540,AT,4-Feb-1997,"Notice: 1 19-Apr-2004",,
A-A-52546,"Hose, Preformed: Semi-Flexible, Reinforced",4730,AT,12-Jan-1996,,,
A-A-52546/1,"Hose, Preformed, Air Cleaner, Semi-Flexible, Heavy Duty 517",4720,AT,12-Jan-1996,"Notice: 1 19-Apr-2004",,
A-A-52549,"Nickel-Base Alloy, Sheet, Corrosion- And Heat-Resistant (Met",9630,AT,15-Mar-1996,"Notice: 1 16-Apr-2004",,
A-A-52552,"Headlight-Infrared, Double Filament, 24 Volt, Waterproof",6220,AT,13-Dec-1995,"Notice: 1 16-Apr-2004",,
A-A-52555,"Hook, Hoist, Burton-Style",4030,AT,2-Jan-1996,"Notice: 1 16-Apr-2004",,
A-A-52556,"Oil Gun, Pneumatic",4930,AT,12-Jan-1996,,,
A-A-52557A,"Fuel Oil, Diesel; for Posts, Camps and Stations",9140,AT,16-Jan-2001,"Notice: 1 31-Jan-2005",,
A-A-52561B,"Ink, Printing: Lithographic Offset, With Drier",7510,CE3,30-Jun-2004,"Notice: 1 31-Jan-2005",,
A-A-52565A,"Surveying Instruments; Azimuth Gyro, Lightweight (SIAGL)",6675,CE3,31-Oct-2002,"Notice: 1 14-Feb-2005",,
A-A-52567B,"Survey Instrument, Automated, Integrated (AISI)",6675,CE3,31-Oct-2006,"Notice: 1 14-Feb-2005",,
A-A-52571,"Target, Surveying, Beacon (With Carrying Bag)",6675,CE3,30-Jan-1998,"Notice: 1 14-Feb-2005",,
A-A-52573A,"Theodolites, Surveying, Direction: Third Order",6675,CE,31-Oct-2003,,,
A-A-0053029,"Knife, General Surgical (Disposable)",6515,MB,5-Aug-1987,,,
A-A-53030,"Ophthalmoscope, Binocular, Indirect",6540,MB,29-Jun-1987,,,
A-A-53957A,"Cannula, Nasal, Oxygen (Plastic, Disposable)",6515,MB,24-Oct-1990,,,
A-A-53959,"Holder, Suture Needle, Masson, 10 1/2 Inch",6515,MB,18-Oct-1989,,,
A-A-53961,"Rongeur, Leksell, 9-3/4 Inch",6515,MB,20-Oct-1989,,,
A-A-53962,"Knife, Eye, Needle Type, Ziegler",6515,MB,6-Nov-1989,,,
A-A-53963,"Battery, Nonchargeable, Hearing Aid",6135,MB,30-Aug-1989,,,
A-A-53964,"Refrigerator, Cold Pack Therapy",4110,MB,30-Aug-1989,,,
A-A-53967,"Calcium Thioglycolate, Trihydrate, Cream",6505,MB,30-Oct-1989,,,
A-A-53969,"Chlomaphene Citrate Tablets, USP",6505,MD,30-Oct-1989,,,
A-A-53971,"Cuff, Blood Warmer",6505,MB,7-Nov-1989,,,
A-A-53973B,"Bag, Blood Collecting-Dispensing-System",6515,MB,16-Dec-1993,,,
A-A-53974,"Bur Kit, Dental Finishing (Tungsten Carbide)",6520,MB,11-Sep-1989,,,
A-A-53976,"Thermometer, Self-Indicating, Liquid in Glass",6685,MB,25-Aug-1989,,,
A-A-53977,"Pipet, Volumetric (Micro, Land-Levy)",6640,MB,25-Aug-1989,,,
A-A-53978,"Point, Endodontic, Core, Gutta-Percha",6520,MB,15-Sep-1989,,,
A-A-54031,"Indicator, Sterilization, Steam",6530,MB,24-Nov-1989,,,
A-A-54032,"Refrigerator, Mortuary Mobile, Two Body Capacity",4110,MB,24-Nov-1989,,,
A-A-54033,"Bracket, Container, Hypodermic Needle and Syringe",6530,MB,24-Nov-1989,,,
A-A-54034A,"Disposal Container, Hypodermic Needle and Syringe (With Need",6530,MB,18-Mar-1994,,,
A-A-54035,Label (Gas Sterilize Only),7690,MB,24-Nov-1989,,,
A-A-54036,"Undershirts, Infant's",6532,MB,19-Jan-1990,,,
A-A-54038,"Suction Apparatus, Oropharyngeal, Tracheal Portable, Battery",6515,MB,30-Mar-1990,,,
A-A-54878,"Plug, Ear, Hearing Protection, Universal Size, Vinyl Form",6515,MB,23-Jul-1993,,,
A-A-54879,"Breathing Circuit, Anesthesia",6515,MB,16-Jul-1993,,,
A-A-54880,"Bottle, Aspirator (5 Gallon)",6640,MB,4-Jun-1993,,,
A-A-54881,"Electrode Assembly, Fetal",6515,MB,4-Jun-1993,,,
A-A-54882,"Forceps, Tracheal Tube",6515,MB,28-May-1993,,,
A-A-54883,Arch Support,6515,MB,18-Jun-1993,,,
A-A-54884,"Catheter and Needle Unit, Intravenous (Catheter Into Needle)",6515,MB,18-Jun-1993,,,
A-A-54885,"Chart Set, Vision Acuity Testing, Clinical and Screening, Di",6540,MB,13-Aug-1993,,,
A-A-54886,"Envelope, Radiographic Film Mount, Dental",7530,MB,30-Jun-1993,,,
A-A-54887,"Shield, Eye, Surgical, Fox",6515,MB,2-Jul-1993,,,
A-A-54888,"Stopper, Bottle, Cork",6640,MB,2-Jul-1993,,,
A-A-54889,Blood Fluid Warmer and Pressure Infusion System,6515,MB,23-Jul-1993,,,
A-A-54890,"Plug, Ear, Hearing Protection, Universal Size, with Headband",6515,MB,16-Jul-1993,,,
A-A-54891,"Plug, Ear, Hearing Protection, Triple Flange",6515,MB,16-Jul-1993,,,
A-A-54946,"Rule, Laboratory, 6 Inch",6640,MB,11-Mar-1994,,,
A-A-54947,"Tube, Tracheostomy, Disposable, Jackson",6515,MB,15-Mar-1994,,,
A-A-54948,"Suction Apparatus, Surgical (Gastrointestinal Abdominal Drai",6515,MB,29-Apr-1994,,,
A-A-54949,"Ventilator, Critical Care Volume Cycled",6530,MB,29-Apr-1994,,,
A-A-54950,"Suction and Pressure Apparatus, Surgical",6515,MB,29-Jul-1994,,,
A-A-54952,"Paper, Electrocardiograph Recording",6515,MB,20-May-1994,,,
A-A-54953,"Manikin, Cardiopulmonary-Resuscitation, Adult",6910,MB,13-May-1994,,,
A-A-54954,"Catheter, Urethral (Metal, Lefort)",6515,MB,31-May-1994,,,
A-A-54955,"Lancet, Finger Bleeding",6515,MB,31-May-1994,,,
A-A-54956,"Hook, Skin (Joseph) Single Prong, (Sharp)",6515,MB,31-May-1994,,,
A-A-54957,"Bag, Ostomy",6515,MB,31-May-1994,,,
A-A-54958,"Perforator, Amniotomy Plastic, Disposable",6515,MB,17-Jun-1994,,,
A-A-54961,Intravenous Injection Set,6515,MB,30-Jun-1994,,,
A-A-54962,"Intravenous Injection Set, Secondary",6515,MB,30-Jun-1994,,,
A-A-54963,"Implant, Orbital, Sphere (Mules)",6515,MB,30-Jun-1994,,,
A-A-59159A,"Hose and Hose Assembly, Rubber, Steam",4720,CC,3-Jan-2003,,,
A-A-59161A,"Ethylene Glycol Monoethyl Ether Acetate, Technical",6810,GS,10-Jan-2001,"Notice: 1 25-Mar-2004",,
A-A-59162,"Diethylenetriamine, Technical",6810,GS3,11-Jun-1998,"Notice: 1 23-Jan-2004",,
A-A-59163,"Insulation Tape, Electrical, Self Adhering Upsupported Silic",5970,GS2,13-Feb-1998,,,
A-A-59166,"Coating Compound, Antiseize, Molybdenium Disulfide-Petrolatu",8030,84,16-Mar-1998,"Notice: 1 19-Feb-2004",,
A-A-59167,"Magnet Materials, Permanent",9535,MI,24-Feb-1998,"Notice: 1 22-Mar-2004",,
A-A-59168,"Layout Fluid (dye), Blue",6850,GS,17-Jun-1998,"Notice: 2 1-Feb-2008",,
A-A-59170,Block and Tackle With Load-Locking Device,3940,IS,27-Mar-1998,"Notice: 1 27-Jan-2004",,
A-A-59172,"Insecticide, Dichlorvos, Impregnated Strip",6840,GS3,2-Mar-1998,"Notice: 1 15-Apr-2004",,
A-A-59173,"Grease, Silicone",9150,GS3,4-Mar-1998,"Notice: 1 30-Oct-2003",,
