Document Number,Document Title,FSC,Preparing Activity,Date,Notice/ Date,Amendment/ Date,Interim Amendment/ Date
W-C-596/179B,"Connector, Receptacle, Electrical, Male Inlet, General Purp",5935,CC,19-Oct-2001,,,
W-C-596/181B,"Connector, Plug, Electrical, General Purpose, Grounding, 2",5935,CC,19-Oct-2001,,,
W-C-596/185B,"Connector, Plug, Electrical, General Purpose, Grounding, 3",5935,CC,19-Oct-2001,,,
W-C-596/189B,"Connector, Plug, Electrical, General Purpose, Grounding, 3",5935,CC,19-Oct-2001,,,
W-F-1290/GEN,"Fuse, Cartridge, Class H (General Specification)",5915,ES,13-Dec-1983,,"Amendment: 2
12-Apr-1976","Int Amendment: 0
--"
FF-B-575C,"Bolts, Hexagon and Square-Notice 1 Inactivation for New Desi",5306,IS,26-May-1970,,,
FF-C-450D(1),"Clamps, Wire Rope",4030,GS,6-Mar-1973,,,
RR-B-00616C,"Bowl, Surgical Sponge",6530,DM,22-Mar-1972,,"Amendment: 1
25-Apr-1977",
RR-C-271D(1),"Chain and Attachments, Welded and Weldless",4010,SH,25-Sep-1990,,,
RR-C-430C,"Climber Set, Tree and Pole: Steel, Interchangeable Gaff, W/N",4240,CR,19-Jul-1974,,"Amendment: 1
9-Nov-1940",
FFF-C-641D,Shaving Soap and Shaving Cream,8520,FSS,17-Apr-1975,,,
GGG-B-121B,"Bar, Sine; Plate Sine (and Fixtures)",5220,AR,4-Jun-1964,,,
GGG-B-325B,"Binder, Load",3990,AV,18-Jul-1980,,,
W-L-101/64A,"Lamp, Incandescent 100 Watt, 120 Volts, A-19 Bulb Inside Fro",6240,AS,21-Nov-1977,,,
W-C-596/29C,"Connector, Plug, Electrical, General Purpose, General Grade,",5935,CC,20-Jul-2001,,,
W-C-596/87B,"Connector, Plug, Electrical, Special Purpose, Grounding, Loc",5935,CC,20-Jul-2001,"Notice: 1
17-Nov-2006",,
D-R-1187/2,"Revolver, Caliber .38 Special, Double Action, 5 Shot and 6",MISC,AR,28-Jun-1974,"Notice: 2
12-Dec-1995","Amendment: 1
4-Oct-1991",
D-R-1187C/GEN(1),"Revolver, Caliber .38 Special, Double Action, 5 Shot and 6",MISC,AR,28-Jun-1974,,,
F-B-2903,"Boilers, Steam and Hot Water, Firetube, Scotch Packaged Type",4410,CC,29-Jul-1998,,,
F-F-351F,"Filters and Filter Elements, Fluid Pressure: Lubricating Oil",2940,AT,1-Sep-1999,,,
F-F-351/2,"Filter, Fluid Pressure: Oil, Heavy Duty, By-Pass Type, Senio",2940,AT,15-May-1998,,,
F-F-351/4,"Filter Element, Fluid Pressure: For Senior Size Filter",2940,AT,15-May-1998,,,
F-F-351/6,"Gaskets: Filter, Fluid Pressure",5330,AT,15-May-1998,"Notice: 1
31-May-2005",,
F-F-351/7A,"Filter Elements, Fluid Pressure-Oil, Full Flow",2940,AT,1-Sep-1999,,,
F-T-2907A,"Tanks, Potable Hot Water Storage",4520,IS,12-Jul-2006,,,
W-F-1814/1B,"Fuse, Cartridge, High Interrupting Capacity, Class G (Curren",5920,CC,25-Jun-2004,"Notice: 0
--",,"Int Amendment: 0
--"
W-F-1814/2B,"Fuse, Cartridge, High Interrupting Capacity, Class G (Curren",5920,CC,25-Jun-2004,"Notice: 0
--",,"Int Amendment: 0
--"
W-F-1814/4B,"Fuse, Cartridge, High Interrupting Capacity, Class G (Curren",5920,CC,24-Jun-2004,"Notice: 0
--",,"Int Amendment: 0
--"
W-F-1814/5B,"Fuse, Cartridge, High Interrupting Capacity, Class J (Curren",5920,CC,25-Nov-2003,,,"Int Amendment: 0
--"
W-F-1814/6B,"Fuse, Cartridge, High Interrupting Capacity, Class J (Curren",5920,CC,15-Dec-2003,"Notice: 0
--",,"Int Amendment: 0
--"
W-F-1814/7B,"Fuse, Cartridge, High Interrupting Capacity, Class J (Curren",5920,CC,15-Dec-2003,"Notice: 0
--",,"Int Amendment: 0
--"
W-F-1814/8B,"Fuse, Cartridge, High Interrupting Capacity, Class J (Curren",5920,CC,15-Dec-2003,"Notice: 0
--",,"Int Amendment: 0
--"
W-F-1814/9B,"Fuse, Cartridge, High Interrupting Capacity, Class J (Curren",5920,CC,15-Dec-2003,"Notice: 0
--",,"Int Amendment: 0
--"
W-F-1814/10B,"Fuse, Cartridge, High Interrupting Capacity, Class J (Curren",5920,CC,15-Dec-2003,"Notice: 2
30-Apr-2001",,
W-F-1814/47B,"Fuse, Cartridge, High Interrupting Capacity, Class L (Curren",5920,CC,15-Dec-2003,"Notice: 2
30-Apr-2001",,
W-F-1814/48B,"Fuse, Cartridge, High Interrupting Capacity, Class L (Curren",5920,CC,15-Dec-2003,"Notice: 2
30-Apr-2001",,
W-F-1814/49B,"Fuse, Cartridge, High Interrupting Capacity, Class L (Curren",5920,CC,15-Dec-2003,"Notice: 2
30-Apr-2001",,
W-F-1814/50B,"Fuse, Cartridge, High Interrupting Capacity, Class L (Curren",5920,CC,15-Dec-2003,"Notice: 2
30-Apr-2001",,
W-F-1814/51B,"Fuse, Cartridge, High Interrupting Capacity, Class L (Curren",5920,CC,15-Dec-2003,"Notice: 2
30-Apr-2001",,
W-F-1814/52B,"Fuse, Cartridge, High Interrupting Capacity, Class L (Curren",5920,CC,15-Dec-2003,"Notice: 2
30-Apr-2001",,
W-F-1814/53B,"Fuse, Cartridge, High Interrupting Capacity, Class L (Curren",5920,CC,15-Dec-2003,"Notice: 2
30-Apr-2001",,
W-F-1814/54B,"Fuse, Cartridge, High Interrupting Capacity, Class L (Curren",5920,CC,15-Dec-2003,"Notice: 2
30-Apr-2001",,
W-F-1814/55B,"Fuse, Cartridge, High Interrupting Capacity, Class L (Curren",5920,CC,15-Dec-2003,,,"Int Amendment: 0
--"
W-F-1814/56B,"Fuses, Cartridge, High Interrupting Capacity, Classes Rk1 an",5920,CC,12-Jan-2004,,,"Int Amendment: 0
--"
W-F-1814/57B,"Fuses, Cartridge, High-Interrupting Capacity, Classes Rk1 an",5920,CC,12-Jan-2004,,,"Int Amendment: 0
--"
W-F-1814/58B,"Fuses, Cartridge, High-Interrupting Capacity, Classes Rk1 an",5920,CC,12-Jan-2004,,,"Int Amendment: 0
--"
FF-L-2740A(1),"Locks, Combination",5340,FSS,12-Jan-1997,,,
FF-L-2890A,"Lock Extension (Pedestrian Door, Deadbolt)",5340,FSS,1-Aug-2004,,,
FF-N-836E,"Nut: Square, Hexagon, Cap, Slotted, Castle, Knurled, Welding",5310,AR,14-Sep-1994,,,
FF-N-845D,"Nut, Plain, Wing, Inch and Metric",5310,AR,8-May-1981,"Notice: 1
6-Feb-2003","Amendment: 1
20-Jan-2004","Int Amendment: 0
--"
FF-P-110J(1),"Padlock, Changeable Combination (Resistant To Opening by Man",5340,IS,11-Feb-1997,,,
FF-P-386D(1),"Pins, Cotter (Split)",5315,AR,10-Mar-1971,,"Amendment: 1
3-Aug-1993",
FF-P-2827A,"Padlock, Key Operated, General Field Service",5340,IS,27-Nov-2002,,"Amendment: 1
1-Aug-1986",
RR-C-901D/GEN,"Cylinder, Compressed Gas: Seamless Shatterproof, High Pressu",8120,GS3,21-Feb-2003,,,
RR-D-1131C,"Dispenser, Drinking Water, Nonmechanically Cooled",4110,GL,2-Mar-1979,,,"Int Amendment: 1
12-Feb-1960"
RR-F-191/1E,"Fencing, Wire and Post, Metal (Chain-Link Fence Fabric, and",5660,IS,1-Jun-2006,"Notice: 0
--","Amendment: 1
29-Oct-2007","Int Amendment: 0
--"
RR-F-191/3E(1),"Fencing, Wire and Post, Metal (Chain-Link Fence Posts, Top",5660,IS,7-Jun-2006,"Notice: 2
3-May-2006",,
RR-F-191/4E,"Fencing, Wire and Post, Metal (Chain-Link Fence Accessories)",5660,IS,1-Jun-2006,"Notice: 1
29-May-2001",,
RR-F-191K/GEN,"Fencing, Wire and Post Metal (and Gates, Chain Link Fence Fa",5660,IS,14-May-1990,,,
W-C-596/74C,"Connector, Cable Outlet, Electrical, General Purpose, Genera",5935,CC,24-Sep-2001,"Notice: 1
25-Oct-2006",,
W-C-596/101C,"Connector, Plug, Electrical, Special Purpose, Cable Outlet,",5935,CC,24-Sep-2001,"Notice: 1
30-Oct-2006",,
H-B-178/1,"Brushes, Wire and Platers, Curved Handle, 4 Row Brushes",7920,GL,10-May-1976,,,
H-B-178/2,"Brushes, Wire and Platers, Curved Handle, 3 Row Brushes",7920,GL,10-May-1976,,,
H-B-178/3,"Brushes, Wire and Platers, Shoe Handle Brushes",7920,GL,10-May-1976,,,
H-B-178/4,"Brushes, Wire and Platers, Straight Block Brushes",7920,GL,10-May-1976,,,
H-B-178/5,"Brushes, Wire and Platers, Curved Block Brush",7920,GL,10-May-1976,,,
H-B-178D/GEN,"Brushes, Wire and Platers (General Specification)",7920,GL,10-May-1976,,,
W-F-1814/59B,"Fuses, Cartridge, High-Interrupting Capacity, Classes Rk1 an",5920,CC,12-Jan-2004,,,"Int Amendment: 0
--"
W-F-1814/60B,"Fuses, Cartridge, High-Interrupting Capacity, Classes Rk1 an",5920,CC,12-Jan-2004,,,"Int Amendment: 0
--"
W-F-1814/62B,"Fuses, Cartridge, High-Interrupting Capacity, Classes Rk1 an",5920,CC,12-Jan-2004,,,"Int Amendment: 0
--"
W-F-1814/63C,"Fuses, Cartridge, High-Interrupting Capacity, Classes Rk1 an",5920,CC,12-Jan-2004,,,"Int Amendment: 0
--"
W-F-1814/65B,"Fuses, Cartridge, High-Interrupting Capacity, Classes Rk1 an",5920,CC,12-Jan-2004,,,"Int Amendment: 0
--"
W-F-1814/66B,"Fuse, Cartridge, High-Interrupting Capacity, Classes Rk1 and",5920,CC,12-Jan-2004,,,"Int Amendment: 0
--"
