Document Number,Document Title,FSC,Preparing Activity,Date,Notice Date,Amendment Date,Interim Amendment Date
FED-STD-313F,"MATERIAL SAFETY DATA, TRANSPORTATION DATA AND DISPOSAL DATA FOR HAZARDOUS MATERIALS FURNISHED TO GOVERNMENT ACTIVITIES",MISC,FAS,12-Oct-2018,,,
595,COLORS USED IN GOVERNMENT PROCUREMENT,8010,FAS,16-Jan-2008,,,
FED-STD-307AJ,"Trucks, Light Commercial, 4x2 and 4x4 1,800kg (4,000 lbs) to",2320,FSS,1-Jul-2005,,,
FED-STD-311/GEN,"Leather, Methods of Sampling and Testing",8300,GL,15-Jan-1969,,,
FED-STD-311/1011.1,"Thickness, Unit",8300,GL,27-Aug-1971,,,
FED-STD-311/1021.1,"Thickness, Specimen",8300,GL,27-Aug-1971,,,
FED-STD-311/1111,"Area, Unit, Weight Method",8300,GL,15-Jan-1969,,,
FED-STD-311/1121,"Area, Unit, Template Method",8300,GL,15-Jan-1969,,,
FED-STD-311/1211,"Width and Length, Unit",8300,GL,15-Jan-1969,,,
FED-STD-311/1231,Apparent Density of Leather,8300,GL,15-Jan-1969,,,
FED-STD-311/2021,"Breaking Force or Tensile Strength, and Elongation: Dumbbell",8300,GL,15-Jan-1969,,,
FED-STD-311/2031,"Breaking Force and Elongation, Grab Method",8300,GL,15-Jan-1969,,,
FED-STD-311/2051,"Bursting Strength, Plunger Method",8300,GL,15-Jan-1969,,,
FED-STD-311/2061,"Shear Strength, Stuck-On Rib",8300,GL,24-Jan-1975,,,
FED-STD-311/2111,"Tearing Strength, Tongue",8300,GL,15-Jan-1969,,,
FED-STD-311/2121,"Tearing Strength, Split",8300,GL,15-Jan-1969,,,
FED-STD-311/2131,"Tearing Strength, Buckle",8300,GL,15-Jan-1969,,,
FED-STD-311/2141,"Tearing Strength, Stitch, Single Hole",8300,GL,15-Jan-1969,,,
FED-STD-311/2151,"Tearing Strength, Stitch, Double Hole",8300,GL,15-Jan-1969,,,
FED-STD-311/2161,"Tearing Strength, Slot Tear",8300,GL,15-Jan-1969,,,
FED-STD-311/2171,"Tearing Strength, Stitch, Stuck-On Rib",8300,GL,24-Jan-1975,,,
FED-STD-311/2211,"Resistance to Grain Crack, Mullen Test",8300,GL,15-Jan-1969,,,
FED-STD-311/3021.2,Staining,8300,GL,24-Jan-1975,,,
FED-STD-311/3031.1,"Colorfastness (Resistance to Rubbing), Precision Crockmeter",8300,GL,27-Aug-1971,,,
FED-STD-311/3041.1,Area Stability of Leather to Laundering,8300,GL,24-Jan-1975,,,
FED-STD-311/3111,Tackiness,8300,GL,15-Jan-1969,,,
FED-STD-311/3121.1,Blocking,8300,GL,27-Aug-1971,,,
FED-STD-311/3202,Finish Stability,8300,GL,15-Jan-1969,,,
FED-STD-311/3203,Corrosive Effects of Leather,8300,GL,15-Jan-1969,,,
FED-STD-311/3211.2,Area Stability of Leather to Perspiration,8300,GL,24-Jan-1975,,,
FED-STD-311/3221,Resistance to Perspiration (White Chrome Leather),8300,GL,15-Jan-1969,,,
FED-STD-311/4011,"Cracking, Vise",8300,GL,15-Jan-1969,,,
FED-STD-358,Sampling Procedures,MISC,FSS,10-Jan-1975,,,
FED-STD-364,"Motion Picture, Sound, Super 8 Millimeter, Format for",6730,AS,9-Dec-1975,,,
FED-STD-365,"Film Slide, Projection, Photographic, Format for 50 Millimet",6750,FSS,26-Nov-1975,,,
FED-STD-366,"Mount, Film Slide, Photographic, Fileable (Overhead Projecto",6750,FSS,25-Feb-1977,,,
FED-STD-368A,Quality Control System Requirements,MISC,FSS,10-Dec-1979,,,
FED-STD-369,Sanitation Standards for Fish Plants,8905,GL,2-Aug-1977,,,
FED-STD-370,Instrumental Photometric Measurements of Retroreflective Mat,8010,FSS,1-Mar-1977,,,
FED-STD-372,Test for Critical Radiant Flux of Carpet Flooring Systems (F,7220,FSS,31-Aug-1977,,,
FED-STD-373,Instrumental Color Measurements of Retroreflective Materials,8010,FSS,1-Dec-1979,,,
