Document Number,Document Title,FSC,Preparing Activity,Date,Notice/ Date,Amendment/ Date,Interim Amendment/ Date
IMP-S-B-100,Fresh Beef,8905,LMG,1-Jun-1996,,,
IMP-S-L-200,Fresh Lamb and Mutton,8905,LMG,1-Apr-1996,,,
IMP-S-P-400,Fresh Pork,8905,LMG,1-Oct-1995,,,
IMP-S-S-800,Sausage Products,8905,LMG,1-Nov-1992,,,
IMP-S-V-300,Fresh Veal and Calf,8905,LMG,1-Feb-1995,,,
IMP-S-CB-600,"Cured, Dried, and Smoked Beef Products",8905,LMG,1-Jun-1993,,,
IMP-S-CP-500,"Cured, Cured and Smoked, and Full-Cooked Pork Products",8905,LMG,1-Jan-1992,,,
IMP-S-GR-000,General Requirements,8905,LMG,1-Jun-1996,,,
IMP-S-EBP-700,Edible By-Products,8905,LMG,1-Jun-1993,,,
IMP-S-QAP-900,Quality Assurance Provisions,8905,LMG,1-Jan-1996,,,
A-A-20120F,"Vegetables, Mixed, Canned",8915,SS,5-May-2005,"Notice: 0
--",,
A-A-20144C,"Juice, Lemon, Reconstituted",8915,FV,1-May-1998,,,
A-A-20145D,"Soups, Canned",8935,FV,19-Aug-2002,,,
